Place name,Month,Year,Station number,Rentals,Returns,,,,,,,
Alfred Street / St Malachy's Church,April,2015,3923,152,145,,,,,,,
Arthur Street / Chichester Street,April,2015,3929,114,101,,,,,,,
Bankmore Square / Dublin Road,April,2015,3918,90,79,,,,,,,
Belfast Waterfront,April,2015,3908,130,115,,,,,,,
Botanic Avenue / Shaftesbury Square,April,2015,3909,102,122,,,,,,,
Bradbury Place,April,2015,3924,133,145,,,,,,,
Carrick Hill / St Patrick's Church,April,2015,3915,26,21,,,,,,,
Castle Place / Royal Avenue,April,2015,3912,98,88,,,,,,,
Cathedral Gardens / York Street,April,2015,3914,57,62,,,,,,,
Central Station / Mays Meadow,April,2015,3905,133,139,,,,,,,
City Hall,April,2015,3902,170,161,,,,,,,
College Square East,April,2015,3919,21,26,,,,,,,
Corporation Square,April,2015,3922,110,118,,,,,,,
Cotton Court / Waring Street,April,2015,3926,50,44,,,,,,,
Donegall Quay,April,2015,3904,74,76,,,,,,,
Dunbar Link / Gordon Street,April,2015,3916,48,49,,,,,,,
Europa Bus Station / Blackstaff Square,April,2015,3910,106,105,,,,,,,
Gasworks (Cromac Street),April,2015,3907,88,85,,,,,,,
Gasworks (Lagan Towpath),April,2015,3927,74,77,,,,,,,
Great Victoria Street / Hope Street,April,2015,3911,45,45,,,,,,,
Linenhall Street / Donegall Square South,April,2015,3928,84,78,,,,,,,
Millfield / Divis Street,April,2015,3920,36,41,,,,,,,
North Street / Waring Street,April,2015,3917,53,52,,,,,,,
Odyssey / Sydenham Road,April,2015,3921,157,164,,,,,,,
Royal Avenue / Castlecourt,April,2015,3925,37,39,,,,,,,
Smithfield / Winetavern Street,April,2015,3913,13,14,,,,,,,
St George's Market / Cromac Square,April,2015,3906,51,49,,,,,,,
Victoria Square / Victoria Street,April,2015,3903,67,65,,,,,,,
Writer's Square / St Anne's Cathedral,April,2015,3931,37,39,,,,,,,
Alfred Street / St Malachy's Church,May,2015,3923,783,743,,,,,,,
Arthur Street / Chichester Street,May,2015,3929,798,822,,,,,,,
Bankmore Square / Dublin Road,May,2015,3918,594,604,,,,,,,
Belfast Waterfront,May,2015,3908,898,870,,,,,,,
Botanic Avenue / Shaftesbury Square,May,2015,3909,991,972,,,,,,,
Bradbury Place,May,2015,3924,1118,1042,,,,,,,
Carrick Hill / St Patrick's Church,May,2015,3915,219,180,,,,,,,
Castle Place / Royal Avenue,May,2015,3912,657,686,,,,,,,
Cathedral Gardens / York Street,May,2015,3914,392,367,,,,,,,
