"NAME","ADDRESS","POSTCODE","LONGITUDE","LATITUDE"
"Markets Community Centre","Market Street","BT1 2AR",-5.923657162536408,54.59419966765567
"Donegall Pass Community Centre","25 Apsley Street","BT7 1BL",-5.929483124584397,54.590687490515755
"Sandy Row Community Centre","Sandy Row","BT12 5ER",-5.937061628999913,54.59196704741422
"Divis Community Centre","9 Ardmoulin Place","BT12 4RT",-5.94307505699962,54.5991315678151
"North Queen Street Community Centre","46a Victoria Parade","BT15 2EN",-5.930924239299423,54.60834063575915
"Hammer Community Centre","Agnes Street","BT13 1GG",-5.94532066000632,54.60554901388281
"Morton Community Centre","Lorne Street","BT9 7DU",-5.94994630073309,54.58188031061878
"Duncairn Community Centre","Upper Mervue Street","BT15 2JZ",-5.931533783590343,54.61493703891979
"Dee Street Community Centre","12-16 Dee Street","BT4 1FT",-5.897397100810889,54.59933490134113
"Olympia Community Centre","Boucher Road","BT12 6NA",-5.959075373710722,54.58337337563054
"Woodvale Community Centre","79a Disraeli Street","BT13 3HW",-5.9596981540713605,54.61083271627228
"Ardoyne Community Centre","40 Herbert Street","BT14 7FH",-5.958396693565711,54.61394657982822
"Highfield Community Centre","High Green","BT13 3SA",-5.976288143970872,54.60342921938474
"Whiterock Community Centre","Whiterock Road","BT12 7RJ",-5.9858114758524374,54.59078466349624
"Concorde Community Centre","36 Alliance Road","BT14 7JB",-5.968420415352541,54.621249217633164
"Inverary Community Centre","Inverary Avenue","BT4 1RN",-5.874075719498115,54.61061696609063
"Ligoniel Community Centre","144 Ligoniel Road","BT14 8DT",-5.984356062720041,54.62588219803508
"Finaghy Community Centre","1-6 Geeragh Place","BT10 0ER",-5.980947180849797,54.557755948311915
"Knocknagoney Community Centre","41a Knocknagoney Drive","BT4 2QF",-5.853199707851077,54.61667280388164
"Horn Drive Community Centre","44a Horn Drive","BT11 9GS",-6.01043915049267,54.56959254438516
"Glen Road Community Centre","2 Carrigart Avenue","BT11 9HU",-6.016398521309444,54.57329337317084
"Suffolk Community Centre","Carnanmore Park","BT11 9LX",-6.0114265067351775,54.56360693957587
