"NAME","ADDRESS","POSTCODE","LONGITUDE","LATITUDE"
"Indoor Tennis Centre and Ozone Complex","Ormeau Embankment","BT6 8LT",-5.9168622964464275,54.589087203158655
"Shankill Leisure Centre","100 Shankill Road","BT13 2BD",-5.944998557089349,54.60334226011444
"Falls Leisure Centre","15-17 Falls Road","BT12 4PB",-5.9495444998713305,54.59911555550098
"Avoniel Leisure Centre","Avoniel Road","BT5 4SF",-5.895069999144709,54.59464911197418
"Olympia Leisure Centre","Boucher Road","BT12 6HR",-5.959005012515502,54.583542921552855
"Grove Wellbeing Centre","120 York Road","BT15 3HF",-5.9240291917178265,54.61851032170849
"Whiterock Leisure Centre","Whiterock Road","BT12 5HQ",-5.986445263928777,54.59110971740777
"Ballysillan Leisure Centre","Ballysillan Road","BT14 7QP",-5.9699990360640065,54.62250658586151
"Loughside Recreation Centre","Shore Road","BT15 3PZ",-5.9221171862854005,54.634758258472424
"Andersonstown Leisure Centre","Andersonstown Road","BT11 9BY",-5.986773271849971,54.57222890174325
