"NAME","ADDRESS","POSTCODE","LONGITUDE","LATITUDE"
"Reverend Robert Bradford Playground","N/A","N/A",-5.930008197471286,54.59064121043253
"Brown's Square Playground","Millfield","BT13 2BW",-5.938521795777536,54.601345236950394
"Stewart Street Playground","N/A","BT7 2BT",-5.919161038970583,54.592855498755995
"Bridge End Playground","N/A","BT5 4AJ",-5.917147367520517,54.599263096294074
"McClure Street Playground","N/A","BT7 1FX",-5.927321911648297,54.58736071866468
"Dover Street Playground","Beverley Street Shankill Road","BT13 2HQ",-5.942829007119869,54.601876904953926
"Carrick Hill Playground","Clifton Street","BT1 2JH",-5.934736815780194,54.605494666375385
"Blythefield Playground","Sandy Row","BT12 5HW",-5.9451057745339435,54.59028444578625
"Balfour Avenue Playground","Ormeau Road","BT7 2EW",-5.919744544961423,54.58675469058202
"New Lodge Playground","North Queen Street","BT15 3EN",-5.932094098906928,54.60785750636393
"Hammer Playground","Shankill Road","BT13 1GG",-5.945723869907631,54.60510710117938
"Lemberg Street Playground","Roden Street","BT12 5QB",-5.94952022239083,54.5906693485712
"North Queen Street Playground","N/A","BT15 1DJ",-5.928692094943983,54.60901225548667
"Ormeau Playground","Ravenhill Road","BT6 8EF",-5.911538129695181,54.58953332619729
"Mountforde Playground","Mountpottinger Road","BT5 4GJ",-5.90794849581435,54.59768911951506
"Dunville Playground","Dunville Street Falls Road","BT12 4NF",-5.952325489513884,54.59605117567677
"Eversleigh Playground","N/A","BT6 8BY",-5.9068728843462255,54.59155373525717
"Botanic Playground","Stranmillis Embankment","BT7 1PN",-5.928210981145903,54.58124417279415
"Dr Pitt Memorial Park Playground","Newtownards Road","BT4 1BU",-5.904523659218549,54.60019339304655
"Nubia Street Playground","Donegall Road","BT12",-5.953392828596179,54.58803993784902
"The Mount","N/A","BT15 1HS",-5.926834171032863,54.61235197706306
"Ormeau 2000 Playground","Park Avenue","BT7 2FW",-5.917323026101685,54.58012403749493
"Alloa Street Playground","Cliftonpark Avenue Crumlin Road","BT15 6EL",-5.9434652439140745,54.61257064809809
"Duncairn Playground","North Queen Street","BT15 2JL",-5.931156592310684,54.615047409622164
"Skippers' Playground","Island Road","BT4 1GA",-5.899041393487277,54.60201990940822
"Castleton Playground","N/A","BT15 3DG",-5.9269865372457105,54.615766734562115
"Clara Street Playground","N/A","BT5 5GB",-5.896428993064546,54.59080020963348
"Avoniel Playground","Avoniel Road","BT5 4SE",-5.895236441869926,54.5941219205525
"Olympia Playground","Boucher Road","BT12 6NT",-5.958296659998281,54.583447401110355
